871451,495,00000000
871452,566,00005A0000
871452,568,6A
871452,989,000000B01D020000
871453,481,000000000114E0
871453,485,5C219270020001BD
871456,711,033FE0C13000
871456,995,C9C96DA56601C9
871457,193,413819F7C294047B
871457,197,4348F197437D177D
871458,209,0000000003FD00
871458,241,1C0200400000
871458,456,03FF000000003C01
871458,489,0044000E004B0000
871459,532,060063FD6C35
871459,761,00010008000000
871460,171,0000000000000000
871460,381,222442FF0030
871460,199,410CA326
871461,313,0000000000000000
871461,211,2CD6
871461,390,04005D0A010383
871462,170,2CD72CD700532900
871462,190,0E000005ABFD
871462,568,6A
871463,201,8000000D00001800
871463,499,C0FC00
871463,417,00004100000000
871463,493,01A90000000019FC
871463,419,00
871464,485,5C2192100200015D
871464,426,0865E69265F000
871464,495,00000000
871464,451,065F065EFF200002
871464,452,2762C073020007FF
871465,453,2CD72CD7B25C
871465,189,01F41BF1F400FF
871465,500,000000000000
871465,479,800200
871465,647,820001
871466,501,0C0C000400000900
871466,961,0765F78000000000
871466,1225,403B0000800000
871466,1910,00170000000000
871468,193,513819F7D294047B
871468,197,5348F197537D177D
871468,209,40007FFF02FD00
871468,241,280200400000
871468,389,1BFB
871469,454,349D349D00432D8B
871469,456,43FF0000FFFF3C00
871469,508,FF1C033E0000019B
871469,528,00000000
871470,810,0A31CDDF65C4E3CA
871472,171,0000000000000000
871472,568,6A
871473,199,410CA326
871473,211,2CD6
871473,1516,FB02FAFFE0D94409
871473,390,04005D0A010383
871473,485,5C2192300200017D
871474,170,2CD62CD602532900
871475,190,02000005AA00
871475,201,8000000000001800
871475,493,01A90000000019FC
871475,495,00000000
871477,193,A139EBA1E294047B
871477,197,6348F197637D177D
871478,209,8000BFFE02FC00
871478,241,340200400000
871478,456,83FF0000FFFE3BFF
871478,489,0040000E004D0000
871479,844,E211004D03FC0040
871479,866,00000000
871480,564,0000000000
871480,481,000000000218D0
871481,711,033FDFC14000
871482,568,6A
871483,485,5C2193500200019E
871485,171,0000000000000000
871485,199,410DC844
871485,211,2CD5
871485,390,04005D0A010383
871487,170,2CD52CD504532900
871487,190,06000005ABFF
871487,193,B139EBA1F294047B
871488,197,7348F197737D177D
871488,201,8000000700001800
871488,209,C000FFFD02FB00
871488,241,000505400000
871488,389,1BFC
871489,417,00004100000000
871489,454,349D349D00832D8A
871489,419,00
871489,456,C3FF0000FFFD3BFE
871489,426,0865E69265F000
871490,189,01F41BF1E000FF
871490,451,065F065EFF300001
871490,479,800200
871490,452,4A62C073040005FE
871490,493,01A90000000019FC
871491,453,2CD52CD5B25C
871491,495,00000000
871491,499,003C00
871491,500,000000000000
871491,501,0C0C000400000900
871492,562,0000200800120022
871492,386,11FB010000000000
