Time(ms), ID, Bus, Data
232548438,381,0,222442FF0000
232548667,170,0,2CB42CB406534900
232548918,171,0,0000000000000000
232549124,190,0,0A140005ABEA
232549286,199,0,43F0F776
232549531,201,0,8000002A00011800
232549658,211,0,2CB2
232549899,493,0,01A9000000001B8A
232550122,390,0,04005D08000180
232550293,495,0,00000000
232550520,810,0,0A31B73565C4CEBA
232553369,189,0,01CC13F1CC00FF
232553524,479,0,800200
232553774,501,0,0C0C000400000900
232554152,241,0,161500400000
232555866,193,0,501D7CBE1331CDCA
232556091,197,0,D38B18DA1258B7B9
232556307,209,0,40347FCB0CF300
232556435,389,0,1818
232556666,454,0,349D349D00C32D89
232556914,456,0,43FF0000FFFF3C00
232557150,485,0,5CEF3E30000001F5
232557305,499,0,407C00
232557545,508,0,0224FF9800440240
232557716,528,0,00000000
232557833,568,0,6B
232561132,171,0,0000000000000000
232561295,199,0,43F0F776
232561525,170,0,2CB62CB600534A00
232561654,211,0,2CB3
232561858,190,0,0E140005ABE9
232562082,390,0,04005D08000180
232562324,201,0,8000002D00011800
232562555,417,0,00004100000000
232562797,493,0,01A9000000001B8A
232562911,419,0,00
232563084,495,0,00000000
232563296,426,0,08662694663000
232563540,451,0,06630662FF000000
232563776,452,0,6D62C073060003FD
232563969,453,0,2CB62CB6B25C
232564174,241,0,221500400000
232564386,500,0,000000000000
232564539,647,0,000001
232565709,193,0,601D7CBE2331CDCA
232565933,197,0,E38B18DA2258B7B9
232566150,209,0,8036BFC80CF200
232566394,456,0,83FF0000FFFE3BFF
232566631,485,0,5CEF3E5000000215
232566878,489,0,0FFC000E00008000
232566993,568,0,6B
232567195,711,0,033FBBBF7000
232567433,844,0,E1A9000000190FFC
232567603,866,0,00000000
232568380,564,0,0000000000
232570101,1275,0,000000
232570327,1905,0,002B0000000000
232573634,170,0,2CB52CB502534A00
232573886,171,0,0000000000000000
232574088,190,0,02140005ABEC
232574247,199,0,43F0F776
232574492,201,0,8000002000011800
232574619,211,0,2CB5
232574824,241,0,3E1500400000
232575047,390,0,04005D08000180
232575287,493,0,01A9000000001B8A
232575461,495,0,00000000
232575693,193,0,701D7CBE3331CDCA
232575913,197,0,F38B18DA3258B7B9
232576133,209,0,C037FFC60CF100
232576262,389,0,1819
232576490,454,0,349D349D00032D8C
232576733,456,0,C3FF0000FFFD3BFE
232576955,481,0,00000000031CC0
232577189,485,0,5CEF3E7000000235
232577430,562,0,0000200800120022
232577545,568,0,6B
232578305,189,0,01CC13F1CC00FF
232578551,386,0,11FB010000000000
232578702,479,0,800200
232578951,501,0,0C0C000400000900
232579241,497,0,A21200000800007A
232581666,1009,0,009B5108144F0E5B
232581954,1519,0,FE35C9FBF6FF359A
232584177,241,0,0A1705400000
232585806,193,0,401D7CBE0331CDCA
232586034,197,0,C38B18DA0258B7B9
232586266,170,0,2CB52CB504534900
232586516,171,0,0000000000000000
232586720,190,0,06140005ABEB
232586884,199,0,43F0F776
232587124,201,0,8000002700011800
232587343,209,0,00353FCB0CF400
232587472,211,0,2CB4
232587590,304,0,02
232587810,390,0,04005D08000180
232588041,417,0,00004100000000
232588292,456,0,03FF000000003C01
232588408,419,0,00
232588645,485,0,5CEF3E10000001D5
232588857,426,0,08662694663000
232589103,489,0,0FFC000E00008000
232589338,451,0,06630662FF100003
232589580,493,0,01A9000000001B8A
232589822,452,0,0062C07300000000
232589994,495,0,00000000
